title,rename,category,link,image,Coat_length,Exercise,Grooming,Lifespan,Sheds,Size,Size_of_garden,Size_of_home,Town_or_country,Vulnerable_native_breed
Black & Tan Coonhound (Imp),,Hound,/search/breeds-a-to-z/breeds/hound/black-tan-coonhound-imp/,/media/2659/black-and-tan-coonhound.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140455020000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Bloodhound,,Hound,/search/breeds-a-to-z/breeds/hound/bloodhound/,/media/1355/bloodhound-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140455420000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Country,Yes
Bolognese,,Toy,/search/breeds-a-to-z/breeds/toy/bolognese/,/media/1607/bolognese-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143802720000000,Long,Up to 30 minutes per day,Every day,Over 12 years,No,Small,Small/ medium garden,Flat/ Apartment,Either,No
Border Collie,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/border-collie/,/media/1435/border-collie-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140540180000000,Medium,More than 2 hours per day,More than once a week,Over 12 years,Yes,Medium,Large garden,Small house,Either,No
Border Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/border-terrier/,/media/1526/border-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143779610000000,Short,Up to 1 hour per day,More than once a week,Over 12 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Borzoi,,Hound,/search/breeds-a-to-z/breeds/hound/borzoi/,/media/2914/borzoi-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140455760000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Boston Terrier,,Utility,/search/breeds-a-to-z/breeds/utility/boston-terrier/,/media/2910/boston-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812320000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Bouvier Des Flandres,,Working,/search/breeds-a-to-z/breeds/working/bouvier-des-flandres/,/media/2917/bouvier-des-flandres-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872440000000,Medium,Up to 1 hour per day,Every day,Over 10 years,No,Large,Large garden,Large house,Either,No
Boxer,,Working,/search/breeds-a-to-z/breeds/working/boxer/,/media/2918/boxer-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872640000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Bracco Italiano,,Gundog,/search/breeds-a-to-z/breeds/gundog/bracco-italiano/,/media/1052/bracco-italiano-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140370510000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Country,No
Braque D?Auvergne (Imp),,Gundog,/search/breeds-a-to-z/breeds/gundog/braque-d-auvergne-imp/,/media/1160/braque-d-auvergne-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140370620000000,Short,More than 2 hours per day,Once a week,Over 10 years,Yes,Large,Large garden,Large house,Country,No
Briard,,Pastoral,/search/breeds-a-to-z/breeds/pastoral/briard/,/media/1438/briard-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140540550000000,Long,More than 2 hours per day,Every day,Over 10 years,Yes,Large,Large garden,Large house,Either,No
Brittany,,Gundog,/search/breeds-a-to-z/breeds/gundog/brittany/,/media/1161/brittany-illustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140423510000000,Medium,More than 2 hours per day,More than once a week,Over 10 years,Yes,Medium,Large garden,Small house,Country,No
Bull Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/bull-terrier/,/media/1529/bull-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143782960000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Bull Terrier (Miniature),,Terrier,/search/breeds-a-to-z/breeds/terrier/bull-terrier-miniature/,/media/1534/bull-terrier-miniature-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143783760000000,Short,Up to 1 hour per day,Once a week,Over 10 years,Yes,Small,Small/ medium garden,Small house,Either,Yes
Bulldog,,Utility,/search/breeds-a-to-z/breeds/utility/bulldog/,/media/2913/bulldog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812570000000,Short,Up to 1 hour per day,Once a week,Under 10 years,Yes,Medium,Small/ medium garden,Small house,Either,No
Bullmastiff,,Working,/search/breeds-a-to-z/breeds/working/bullmastiff/,/media/2920/bullmastiff-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872890000000,Short,More than 2 hours per day,Once a week,Under 10 years,Yes,Large,Large garden,Large house,Either,No
Cairn Terrier,,Terrier,/search/breeds-a-to-z/breeds/terrier/cairn-terrier/,/media/1535/cairn-terrier-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143784020000000,Medium,Up to 1 hour per day,More than once a week,Over 10 years,Yes,Small,Small/ medium garden,Flat/ Apartment,Either,No
Canaan Dog,,Utility,/search/breeds-a-to-z/breeds/utility/canaan-dog/,/media/2925/canaan-dog-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143812840000000,Short,Up to 1 hour per day,Once a week,Over 12 years,Yes,Medium,Small/ medium garden,Large house,Either,No
