title,category,link,image,details_type,details
Anatolian Shepherd Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/anatolian-shepherd-dog/,/media/1910/anatolian-shepherd-dog-llustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470400000000,Sheds,Yes
Anatolian Shepherd Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/anatolian-shepherd-dog/,/media/1910/anatolian-shepherd-dog-llustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470400000000,Lifespan,Over 10 years
Anatolian Shepherd Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/anatolian-shepherd-dog/,/media/1910/anatolian-shepherd-dog-llustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470400000000,Vulnerable native breed,No
Anatolian Shepherd Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/anatolian-shepherd-dog/,/media/1910/anatolian-shepherd-dog-llustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470400000000,Town or country,Country
Anatolian Shepherd Dog,Pastoral,/search/breeds-a-to-z/breeds/pastoral/anatolian-shepherd-dog/,/media/1910/anatolian-shepherd-dog-llustration-resized.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132140470400000000,Size of garden,Large garden
Alaskan Malamute,Working,/search/breeds-a-to-z/breeds/working/alaskan-malamute/,/media/2906/alaskan-malamute-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872040000000,Size,Large
Alaskan Malamute,Working,/search/breeds-a-to-z/breeds/working/alaskan-malamute/,/media/2906/alaskan-malamute-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872040000000,Exercise,More than 2 hours per day
Alaskan Malamute,Working,/search/breeds-a-to-z/breeds/working/alaskan-malamute/,/media/2906/alaskan-malamute-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872040000000,Size of home,Large house
Alaskan Malamute,Working,/search/breeds-a-to-z/breeds/working/alaskan-malamute/,/media/2906/alaskan-malamute-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872040000000,Grooming,Every day
Alaskan Malamute,Working,/search/breeds-a-to-z/breeds/working/alaskan-malamute/,/media/2906/alaskan-malamute-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872040000000,Coat length,Medium
Alaskan Malamute,Working,/search/breeds-a-to-z/breeds/working/alaskan-malamute/,/media/2906/alaskan-malamute-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872040000000,Sheds,Yes
Alaskan Malamute,Working,/search/breeds-a-to-z/breeds/working/alaskan-malamute/,/media/2906/alaskan-malamute-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872040000000,Lifespan,Over 10 years
Alaskan Malamute,Working,/search/breeds-a-to-z/breeds/working/alaskan-malamute/,/media/2906/alaskan-malamute-illustration.jpg?mode=crop&anchor=center&width=81&height=81&rnd=132143872040000000,Vulnerable native breed,No
